product id,real qty
6002596,60
6075095,200
6076504,60
6072735,60
6039547,60
6024758,60
6024246,60
6016593,60
6012808,60
6024222,60
6024239,60
6072759,60
6072742,30
6085292,32
6031992,600
601216,600
601223,1800
6060893,600
6038496,600
6054755,600
601178,600
6068714,600
601266,2400
6072124,600
601283,1200
6048907,10
6061548,3360
6069018,5
6015367,360
6006761,336
6027896,20
602874,60
6000158,216
6075019,180
6032159,24
6055837,50
600065,16
6056780,240
6010621,600
6046637,10
602086,180
6077525,176
601228,600
6077556,216
6079109,102
6079093,36
6079277,42
6079192,396
6080068,84
6080044,300
6080051,300
6038540,20
6081621,336
6046965,10
6008413,60
6027971,156
6062736,600
6060831,588
6026448,50
6057183,30
6006969,20
602658,50
602659,50
6055448,36
601206,36
6055462,36
6085254,60
6077082,50
6029821,120
6013059,4
6012991,600
6012960,50
6013134,50
6079291,30
6079260,30
6079468,60
6049980,50
6085391,120
6080532,96
6080549,96
6062309,50
6064747,120
6085735,50
6051969,100
6073718,68
6085698,30
6051952,150
6083281,80
6022167,84
6068974,50
6079079,240
6079239,360
6024321,83
6010645,100
6010638,100
6010652,140
6016609,259
6060572,100
6029686,360
6003630,1080
6056780,176
600615,480
6064778,480
6010461,2772
6081997,480
6062736,432
6007713,48
602469,192
6080815,120
6064808,24
602088,90
6077532,248
601225,120
6003593,2400
6085438,62
600295,80
602750,150
6073718,32
6022167,36
6073367,336
