sku,name,_category,image
6000578,"""""""1KG EARS""""""","""Confectionery/Local Bulk Sugar""",no_selection
601533,"""""""LOLLETTE LOLLY BAG 100G*50""""""","""Confectionery/Local Hang Sell""",no_selection
602717,"""""""WHITE CHOC SPECKLES 8KG""""""","""Confectionery/Local Bulk Chocolate """,no_selection
6057404,"""""""RC HANDMADE CANDY 1KG""""""","""Confectionery/Counter Lines""",no_selection
601630,MISCELLANEOUS,"""Confectionery/Gift Box""",no_selection
601877,"""""""ORGANIC SLICE CAROB-MAC&APR 10""""""",Biscuits/Pastries/Local,no_selection
6082024,"""""""HERSHEY' KISSES RED 198G*12""""""","""Confectionery/USA Hang Sell""",no_selection
6080303,"""""""PZX HISPEED DATA CABLE""""""","""General Merchandise/Electrical""",no_selection
6080433,"""""""EMOTI LOLLIPOP""""""","""Confectionery/Counter Lines""",no_selection
6082536,"""DOVE AQUA IMPACT 150G""","""Health & Beauty/Personal/Body Care""",
6082864,"""""""BOUNCE HAZELNUT P.BALL 42G*12""""""","""Confectionery/Counter Lines""",no_selection
